mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-536.09875,80.48112,33.082684,17.31489,21.059847,17.01959,-12.337081,-12.48447,-18.112492,3.1137786,-12.719317,-3.004729,-2.872796,1
-563.8322,71.41703,27.518856,26.193445,22.193441,16.765488,-10.220032,-7.7324986,-16.753506,4.839311,-9.162978,-0.14950348,1.1393712,1
-499.54193,62.426495,26.559975,17.108425,14.152995,15.272205,-5.6601505,-5.3771415,-16.924088,3.4823806,-8.602332,-0.091191135,-3.330502,1
-546.97864,85.16893,35.565914,20.171886,13.481484,16.707499,-6.7297006,-3.6986275,-18.890877,0.11328074,-9.077789,-2.030176,-5.651926,1
-531.0986,86.09087,32.165157,13.467069,12.311871,19.896852,-8.356213,-1.8881458,-18.915146,-0.76941836,-11.669145,-1.1372756,-4.301447,1
-511.56647,69.00092,21.649214,9.976744,14.257934,15.499927,-19.977644,-12.592972,-7.711915,6.67769,-5.971585,-0.20290537,-0.19323213,1
-499.2457,54.58097,26.246439,21.87877,20.188118,9.884254,-8.199116,-10.533709,-9.506745,4.2514744,-9.39462,-1.9240943,3.2240894,1
-544.7508,79.73438,32.498623,24.18591,18.990696,12.009312,-14.087686,-6.7043667,-14.128028,4.082642,-10.476159,-3.5134044,-1.8162673,1
-539.2979,74.45597,19.392786,16.753923,14.498857,17.899616,-12.005845,-12.539628,-2.8968723,7.0555134,-4.744573,4.253204,0.7181179,1
-523.321,80.645386,32.501896,-3.1950896,7.400146,14.348044,2.0895672,-5.960402,-18.388811,-3.0274556,-7.538592,4.565619,0.1600581,0
-512.95886,78.37166,23.616356,-2.25176,13.875948,9.865178,-2.5457525,-8.276292,-21.309185,0.17887816,-5.040079,3.030706,-0.8575243,0
-490.04272,55.4055,20.428606,10.047416,11.233627,11.933085,-6.911327,-6.691904,-12.66837,-1.1480452,-5.718987,1.91145,-2.6595685,0
-498.3992,49.345985,19.879421,8.528262,5.9278545,10.287937,-2.6573846,-7.621837,-15.228869,-1.9138064,-8.004358,-1.9109104,-0.99832475,0
-513.5735,48.727516,23.89284,7.2159286,9.181123,18.47371,-0.76622313,-14.525626,-17.962683,4.1233854,0.3047996,-1.294271,1.124214,0
-515.2988,35.316036,27.542095,21.463127,12.728881,14.266531,-6.1205816,-5.461015,-11.955405,-2.9325807,-8.40419,0.6082194,-1.7110727,0
-483.36594,56.231445,23.457485,3.0515625,-2.4819963,10.6091,-2.573242,-6.963891,-17.580976,1.1301118,-7.090023,-0.03827964,-0.8186151,0
-490.9724,64.55292,8.801877,5.9322233,17.002636,7.265654,-9.41137,-3.8815527,-10.292386,-1.4955754,-6.155667,0.7749442,-4.171512,0
-497.9864,62.70215,16.325882,7.922724,5.8637934,10.127184,-9.858518,-4.003837,-14.94208,0.5727832,0.51154107,0.89389336,-0.978081,0
-472.37054,71.23753,16.285793,5.0415606,-2.967821,1.9827476,-5.998251,-0.014749909,-16.493452,-5.071239,-4.7244825,-0.8343268,-4.522043,0
-492.945,49.72952,16.94951,17.439568,19.691603,6.9092007,-3.2564695,-5.224849,-14.574093,-7.598149,-11.896984,-2.5852516,-1.124988,0
-506.52725,59.016945,16.981773,7.9899693,11.249595,16.348215,-1.902482,-9.71728,-15.8281765,-4.5813565,-3.6760433,-2.2872484,-0.6687646,0
-508.98242,49.723133,16.85043,16.550177,15.480318,12.40564,-5.559245,-2.0343966,-14.340409,-5.6782537,-0.6736674,-0.04584939,-0.7245209,0
-475.55414,60.687572,14.987566,10.009954,6.7485185,8.640603,-4.9117503,-8.446862,-17.669098,-5.670763,-10.692846,-1.402029,-2.774892,0
-490.7229,55.002167,24.03883,-0.33016974,2.5955675,15.306826,-9.35829,-5.353007,-14.847824,0.11713213,-9.132728,3.1188657,-2.6527963,0
-515.071,57.84064,28.452269,13.121185,1.915425,7.9526024,-2.2137165,-2.8456233,-16.182219,-1.4141654,-4.283881,-1.1468395,-0.7621007,0
-520.228,50.9063,28.172873,8.48671,6.6548123,13.54583,2.7452843,-7.75477,-14.469719,-2.4011736,-10.221571,-0.7243411,-0.9703749,0
-506.0478,67.72732,21.455828,1.4788971,2.5634255,16.878702,-4.668215,-6.519126,-15.146243,-1.7168615,-5.6241727,2.7510407,0.20038606,0
-493.5073,55.786457,22.923738,1.2377628,4.8340855,12.158217,-5.55404,-5.3058877,-15.781856,-3.2187972,-3.153137,2.54673,-2.2208667,0
-492.67868,58.768555,23.942764,4.737347,6.734528,8.294799,-4.6917195,-4.664716,-17.519842,2.6987658,-7.865189,3.127949,1.0567387,0
-504.12277,47.76078,18.80836,10.917304,7.0875587,12.606699,-4.0744095,-6.6929774,-13.458709,-2.7542865,-1.913122,1.2314086,1.2178128,0
-500.87323,64.5324,19.49597,3.341156,11.102789,13.570784,-0.4180546,-9.38407,-17.437977,-3.2169564,-8.205805,-3.768488,-2.325967,0
-530.3509,63.096664,23.037884,11.7749195,17.043898,12.853771,-12.062049,-6.3923593,-13.686396,0.1311497,-8.481004,-1.3228722,-0.17655373,0
-517.91974,76.84136,22.897715,2.8077013,4.6446795,12.212543,-3.3696907,-2.960046,-14.369849,-0.33302677,-4.1429105,-0.90829873,0.22225232,0
-535.94604,70.6722,23.120375,12.621493,17.536936,9.657278,-7.1871805,-2.3243062,-11.0690565,-5.39269,-6.251568,-1.3775344,0.105985366,0
-539.74414,63.94062,29.279442,19.165594,16.561438,12.455484,-2.4548213,0.9826875,-8.841462,-4.610995,-6.584074,-3.9361415,-2.5029833,0
-521.0894,71.33173,24.859081,8.692118,4.4545574,8.311309,-4.4993305,-1.147148,-16.234556,0.89642227,-4.6785674,-1.4390342,0.5973717,0
-527.4955,63.21356,30.464611,14.104461,14.686555,9.9479065,-4.9042673,-5.1391006,-14.2999935,-1.5694577,-5.5273595,-2.8480527,-3.0316164,0
-509.5089,69.45711,24.366846,1.3642834,10.9043045,13.400944,-0.3767388,-12.507423,-16.41117,-0.8927924,-10.239294,-5.6321425,-2.6589348,0
-489.63516,69.81638,24.038515,0.11890907,4.7100215,10.365674,-7.3352046,0.09379533,-16.329563,-2.70573,-7.754342,0.3932593,-1.2982721,0
-517.82,67.29168,25.97855,-0.2363589,7.5812774,12.340907,-2.3728871,-1.4448804,-13.404839,-5.4349756,-3.7966475,0.67401296,0.6576157,0
-532.6108,75.60248,18.343472,3.9764302,12.1234865,16.255095,-4.6500454,-3.3016834,-12.500892,-3.832499,-2.6102421,2.156414,-1.8012979,0
-510.3499,63.346825,19.975101,8.951555,11.340432,11.076024,-6.760188,-4.4910355,-11.859629,-3.0025132,-9.520293,-0.55414444,-0.47479784,0
-524.4539,77.33745,22.686325,-1.5567646,11.828232,16.4074,-6.041116,-6.820994,-14.495351,1.581967,-3.4190521,-1.0530576,-0.9583075,0
-519.2909,77.95072,25.098816,10.295536,5.755927,14.714336,-2.636229,1.5449568,-13.022778,-6.624285,-4.525734,-1.6810224,-2.3199906,0
